"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\attack.py", "Python", 10, 0, 2, 3, 15
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\battle_turn.py", "Python", 148, 0, 15, 34, 197
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\game.py", "Python", 66, 0, 3, 13, 82
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\get_targets.py", "Python", 64, 0, 0, 5, 69
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\player.py", "Python", 15, 0, 1, 4, 20
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\battler\shop_turn.py", "Python", 112, 0, 14, 32, 158
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\food_type.py", "Python", 92, 0, 11, 19, 122
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\main.py", "Python", 64, 0, 4, 14, 82
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\pet.py", "Python", 343, 0, 32, 60, 435
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\pet_type.py", "Python", 36, 0, 5, 7, 48
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\shop.py", "Python", 120, 0, 32, 33, 185
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\team.py", "Python", 44, 0, 8, 12, 64
"c:\Users\Yoav\PycharmProjects\SuperAutoPets\utils\concat.py", "Python", 7, 0, 8, 3, 18
"Total", "-", 1121, 2, 135, 240, 1498
